S_0d	S_3d
555.3141848	0.711442341
283.7689132	0.851832147
238.1397731	1.629133513
3400.053002	74.35551633
204.8683804	1.697825109
195.0479588	4.005346834
150.4777043	1.838868806
753.0946087	23.69194396
112.418105	0.236494889
161.5890935	3.535530102
947.2744131	33.19211104
176.0274822	4.428303694
97.20798992	0.132579537
171.7917776	4.556278817
130.6895438	2.8476831
97.26024054	0.439299302
148.0824359	3.967800017
207.4038744	7.530396509
236.098228	9.27236479
103.0706287	2.533271112
87.08398179	1.734085504
204.113212	8.244619058
65.56645535	0.421217271
80.20947194	1.890633193
71.01648809	1.180443642
62.28902236	0.659848289
177.7157711	8.149500259
147.7273776	6.944485642
57.05098933	0.786947112
53.50477567	0.306048531
126.6516574	5.931808037
51.53032192	0.199929942
94.16279359	3.868193217
53.07517555	0.672643754
51.23458397	0.430883495
49.80059014	0.230180799
111.5882764	5.344925532
91.94708661	4.211617539
56.18921633	1.559747892
145.5714413	7.823785492
102.4494793	4.935630758
46.46278234	0.461668117
52.44828005	1.26509594
224.4544441	13.06645878
89.34844491	4.34751079
42.79557435	0.367408531
84.31688303	4.233964426
41.60384117	0.458554912
45.15004909	1.064285014
73.92374011	3.496439523
86.04643021	4.574146164
107.717233	6.372325759
36.52664889	0.059096829
191.9422554	12.33881985
105.7185401	6.506958702
38.66788067	0.801058615
75.55412886	4.203633108
60.93052695	2.972191768
161.1517389	10.49939232
72.3429014	3.922160017
35.81318231	0.494430811
85.38551381	5.061614046
34.39833413	0.392689469
32.79699177	0.138281102
631.2785785	45.18372784
76.43825058	4.447693345
35.83335157	0.840629088
8.276155025	119.1391496
37.26852661	1.148924468
30.39690979	0.0962934
30.54579225	0.231375508
30.07283849	0.119942748
87.34949584	5.500417353
68.40010916	4.241532731
29.54569095	0.370865565
32.35533845	0.912033949
0.423713235	29.55938205
28.87428448	0.300125801
122.2879464	8.753180219
154.1571729	11.52881244
27.91804272	0.200239266
164.9814862	12.91099852
107.7660795	7.704567331
34.53038522	1.409536043
34.90120336	1.492472938
34.69374527	1.493073951
25.60912253	0.171753305
55.11020303	3.840616295
14.90389775	182.9821142
28.83400484	1.122030876
28.6602604	1.122934304
209.082284	18.08871405
30.12625254	1.417078384
133.3064394	11.37131617
26.32541588	0.929687321
22.59825951	0.229489482
33.24361505	1.86816908
28.2906882	1.26269358
23.43588389	0.480125417
66.01430419	5.225052021
22.88732821	0.331586694
27.79471989	1.245206034
214.2936502	19.94079742
24.36124128	0.751896084
54.41488529	4.048959617
2.147459971	34.30590699
38.73808872	2.468417311
22.62311444	0.56259132
4.338073623	55.21638182
30.03693711	1.692801184
20.27210263	0.049396957
20.872192	0.362927612
24.5278377	0.996993875
19.67178955	0.062316623
97.735867	9.082637804
19.56493502	0.257988889
68.272479	5.909248977
18.92000316	0.246966987
24.65728606	1.240843556
31.70190114	2.156393133
59.26155779	5.080310678
140.280819	13.67718362
17.96642011	0.15162002
19.20267642	0.526516609
64.95476941	5.934957
19.21102153	0.671296596
16.73031095	0.155194735
16.57217476	0.087832091
16.36411318	0.033430596
16.43082412	0.07657672
16.3134495	0.04947226
16.44506079	0.136995714
20.16692378	0.892220861
17.28435951	0.396605694
19.25861872	0.805912313
51.16341906	4.790867259
74.63070622	7.054342066
16.21099036	0.311293272
105.276046	11.13683159
40.94250943	3.600793405
24.79450682	1.695367716
95.93439309	10.28403083
91.56857175	9.886034389
91.24101666	9.870403256
18.64822375	0.934065507
14.43616102	0.054152205
14.47781634	0.131879909
32.31660387	2.73330733
17.75167645	0.861745362
14.53199673	0.224211476
82.40778205	9.252874862
16.60003643	0.733235807
18.24445917	0.967300501
33.19273892	2.91694454
15.36074031	0.525853427
23.73442777	1.689316772
32.27696139	2.813415527
13.97236031	0.166608285
13.87543457	0.131231478
15.16931002	0.53236844
56.31454446	6.047273416
53.94361407	5.684375096
14.89178151	0.515457642
15.07536126	0.558779916
13.360269	0.103723446
42.39657277	4.234601687
15.62240302	0.730124221
13.25037126	0.2220687
36.65315336	3.549214961
132.7133163	1033.515996
48.77996868	5.409939358
94.85752932	10.88128026
28.52047899	2.643709709
13.30674686	0.351253046
12.55693139	0.049372767
25.25380818	2.142492734
28.06866745	2.609371903
13.69048305	0.475486152
15.0056271	0.726455088
19.65903444	1.406772035
12.35257332	0.138281102
254.9788311	1908.453524
12.09598092	0.086023199
26.2906098	2.409059933
12.03817734	0.162363705
13.57794796	0.589236735
23.84662468	2.058374715
297.7665286	40.81549469
80.76670852	9.918208969
106.373386	13.64918427
39.78727886	4.482720098
16.60143572	1.082731705
11.90239332	0.19083873
11.92053827	0.228097714
14.36101407	0.7471363
12.37531544	0.378193686
14.93957667	0.859901507
32.86767961	3.517978226
11.43219868	0.176616556
51.10257683	6.225996686
31.40413511	3.463899861
